t,alpha
0.0000,-39.87437769964108
0.1000,-40.07897831896835
0.2000,-39.98602399991759
0.3000,-39.613347908203615
0.4000,-38.96734285794902
0.5000,-38.07580148226548
0.6000,-36.95572039133086
0.7000,-35.63673679259881
0.8000,-34.14937906522414
0.9000,-32.52876709901662
1.0000,-30.799921745911735
1.1000,-28.987665388168224
1.2000,-27.12423690400026
1.3000,-25.23467309929474
1.4000,-23.341879932941758
1.5000,-21.467963526914883
1.6000,-19.631903075178286
1.7000,-17.853033285659745
1.8000,-16.145136714307426
1.9000,-14.521098356571567
2.0000,-12.990789418334616
2.1000,-11.562513338884683
2.2000,-10.240903878458012
2.3000,-9.028642948611134
2.4000,-7.9266771395286835
2.5000,-6.9341383505767
2.6000,-6.048403098631689
2.7000,-5.264887417343619
2.8000,-4.5789444363405885
2.9000,-3.984479734746591
3.0000,-3.474751174757541
3.1000,-3.0428275986078415
3.2000,-2.6813500590454815
3.3000,-2.383395037445779
3.4000,-2.141669824886162
3.5000,-1.948934339436485
3.6000,-1.7991105123355335
3.7000,-1.6854887633049047
3.8000,-1.6025124591017865
3.9000,-1.5451460083002666
4.0000,-1.5087273414902884
4.1000,-1.4901439490163413
4.2000,-1.4864925858834328
4.3000,-1.494929504837953
4.4000,-1.5137537957785052
4.5000,-1.5407410890271163
4.6000,-1.5752337157478848
4.7000,-1.6150324682855675
4.8000,-1.6594178786271625
4.9000,-1.7087654563520494
5.0000,-1.7618378833908417
5.1000,-1.81965566900995
5.2000,-1.8818920989106473
5.3000,-1.9463844603546292
5.4000,-2.0141359550824376
5.5000,-2.085841963905924
5.6000,-2.1600150575714006
5.7000,-2.2370961171677037
5.8000,-2.3177888119106043
5.9000,-2.4023203010186718
6.0000,-2.492698873504349
6.1000,-2.5868391588100272
6.2000,-2.6848621749439054
6.3000,-2.7863508509454094
6.4000,-2.8909957219843574
6.5000,-3.0000586567982306
6.6000,-3.113369821812507
6.7000,-3.230524144437902
6.8000,-3.3527675364041207
6.9000,-3.4803740470452382
7.0000,-3.611746627657861
7.1000,-3.747711963362443
7.2000,-3.887423654728208
7.3000,-4.030707875883814
7.4000,-4.177382854155919
7.5000,-4.325324547306062
7.6000,-4.477443164740274
7.7000,-4.630783821836868
7.8000,-4.784037635691418
7.9000,-4.937840111211692
8.0000,-5.092479410078644
8.1000,-5.245202313983545
8.2000,-5.397414648190489
8.3000,-5.545564832923128
8.4000,-5.688387428126975
8.5000,-5.820717119079287
8.6000,-5.943432599959357
8.7000,-6.056005111840944
8.8000,-6.154740583145847
8.9000,-6.237365402098777
9.0000,-6.303683735469699
9.1000,-6.348799928751223
9.2000,-6.372814805360939
9.3000,-6.368432469880538
9.4000,-6.333423208474237
9.5000,-6.267663476026436
9.6000,-6.168990115313042
9.7000,-6.032817533321008
9.8000,-5.854026298637172
9.9000,-5.630874520622621
10.0000,-5.359290287582673
10.1000,-5.039773781093292
10.2000,-4.668699222110155
10.3000,-4.243989131386758
10.4000,-3.7623685952822443
10.5000,-3.2242418148673244
10.6000,-2.627938836400242
10.7000,-1.9729683388320727
10.8000,-1.2595892456207824
10.9000,-0.486988821532117
11.0000,0.3448139585439238
11.1000,1.2351384842728879
11.2000,2.181451726364637
11.3000,3.1832514930681417
11.4000,4.236450730681528
11.5000,5.338036644858532
11.6000,6.48564850620022
11.7000,7.674100524569315
11.8000,8.901261715864004
11.9000,10.158881328342321
12.0000,11.44501014083519
12.1000,12.749686801950975
12.2000,14.07124945166642
12.3000,15.397055308375952
12.4000,16.720381444736248
